"","date","Order.Qty","Order.Price","Order.Type","Order.Side","Order.Threshold","Order.Status","Order.StatusTime","Prefer","Order.Set","Txn.Fees","Rule","Time.In.Force"
"1",2003-11-03,"1","82.6593636803644","market","long",NA,"closed","2003-11-04 00:00:00","Open",NA,"0","ruleSignal.rule",""
"2",2003-11-10,"1","82.6515456287754","market","long",NA,"closed","2003-11-11 00:00:00","Open",NA,"0","ruleSignal.rule",""
"3",2003-11-14,"1","83.1674369825957","market","long",NA,"closed","2003-11-17 00:00:00","Open",NA,"0","ruleSignal.rule",""
"4",2003-11-18,"1","82.260721214211","market","long",NA,"closed","2003-11-19 00:00:00","Open",NA,"0","ruleSignal.rule",""
"5",2003-12-03,"1","84.1444980190066","market","long",NA,"closed","2003-12-04 00:00:00","Open",NA,"0","ruleSignal.rule",""
"6",2003-12-16,"1","84.1679459205828","market","long",NA,"closed","2003-12-17 00:00:00","Open",NA,"0","ruleSignal.rule",""
"7",2004-01-23,"1","90.3143529152402","market","long",NA,"closed","2004-01-26 00:00:00","Open",NA,"0","ruleSignal.rule",""
"8",2004-01-28,"1","90.2986484272815","market","long",NA,"closed","2004-01-29 00:00:00","Open",NA,"0","ruleSignal.rule",""
"9",2004-02-04,"1","88.8928851052587","market","long",NA,"closed","2004-02-05 00:00:00","Open",NA,"0","ruleSignal.rule",""
"10",2004-02-13,"1","90.9583335186358","market","long",NA,"closed","2004-02-17 00:00:00","Open",NA,"0","ruleSignal.rule",""
"11",2004-02-19,"1","91.3588596109444","market","long",NA,"closed","2004-02-20 00:00:00","Open",NA,"0","ruleSignal.rule",""
"12",2004-03-03,"1","90.5106884650559","market","long",NA,"closed","2004-03-04 00:00:00","Open",NA,"0","ruleSignal.rule",""
"13",2004-03-08,"1","91.3667083208838","market","long",NA,"closed","2004-03-09 00:00:00","Open",NA,"0","ruleSignal.rule",""
"14",2004-03-22,"1","87.1160597071728","market","long",NA,"closed","2004-03-23 00:00:00","Open",NA,"0","ruleSignal.rule",""
"15",2004-04-13,"1","90.835870501583","market","long",NA,"closed","2004-04-14 00:00:00","Open",NA,"0","ruleSignal.rule",""
"16",2004-04-20,"1","89.9059180000043","market","long",NA,"closed","2004-04-21 00:00:00","Open",NA,"0","ruleSignal.rule",""
"17",2004-04-28,"1","89.7561775210573","market","long",NA,"closed","2004-04-29 00:00:00","Open",NA,"0","ruleSignal.rule",""
"18",2004-05-07,"1","87.6519645385911","market","long",NA,"closed","2004-05-10 00:00:00","Open",NA,"0","ruleSignal.rule",""
"19",2004-05-19,"1","87.0845351054646","market","long",NA,"closed","2004-05-20 00:00:00","Open",NA,"0","ruleSignal.rule",""
"20",2004-06-04,"1","89.0390139137466","market","long",NA,"closed","2004-06-07 00:00:00","Open",NA,"0","ruleSignal.rule",""
"21",2004-06-21,"1","89.973077266999","market","long",NA,"closed","2004-06-22 00:00:00","Open",NA,"0","ruleSignal.rule",""
"22",2004-06-25,"1","90.495122022063","market","long",NA,"closed","2004-06-28 00:00:00","Open",NA,"0","ruleSignal.rule",""
"23",2004-07-02,"1","89.5064068872608","market","long",NA,"closed","2004-07-06 00:00:00","Open",NA,"0","ruleSignal.rule",""
"24",2004-07-15,"1","88.3832217482929","market","long",NA,"closed","2004-07-16 00:00:00","Open",NA,"0","ruleSignal.rule",""
"25",2004-07-21,"1","88.4465010988644","market","long",NA,"closed","2004-07-22 00:00:00","Open",NA,"0","ruleSignal.rule",""
"26",2004-08-05,"1","87.2363145648387","market","long",NA,"closed","2004-08-06 00:00:00","Open",NA,"0","ruleSignal.rule",""
"27",2004-08-25,"all","87.2679542401244","market","long",NA,"closed","2004-08-26 00:00:00","Open",NA,"0","ruleSignal.rule",""
"28",2004-11-10,"1","92.9766099294702","market","long",NA,"closed","2004-11-11 00:00:00","Open",NA,"0","ruleSignal.rule",""
"29",2004-11-29,"1","94.6303030984414","market","long",NA,"closed","2004-11-30 00:00:00","Open",NA,"0","ruleSignal.rule",""
"30",2004-12-03,"1","95.0445422878179","market","long",NA,"closed","2004-12-06 00:00:00","Open",NA,"0","ruleSignal.rule",""
"31",2004-12-07,"1","95.1879336037059","market","long",NA,"closed","2004-12-08 00:00:00","Open",NA,"0","ruleSignal.rule",""
"32",2004-12-27,"1","97.006234590446","market","long",NA,"closed","2004-12-28 00:00:00","Open",NA,"0","ruleSignal.rule",""
"33",2004-12-31,"1","97.086277542068","market","long",NA,"closed","2005-01-03 00:00:00","Open",NA,"0","ruleSignal.rule",""
"34",2005-01-20,"1","94.3569734482869","market","long",NA,"closed","2005-01-21 00:00:00","Open",NA,"0","ruleSignal.rule",""
"35",2005-02-09,"1","96.3819378260302","market","long",NA,"closed","2005-02-10 00:00:00","Open",NA,"0","ruleSignal.rule",""
"36",2005-02-22,"1","95.9657426510246","market","long",NA,"closed","2005-02-23 00:00:00","Open",NA,"0","ruleSignal.rule",""
"37",2005-03-09,"1","97.6225315418361","market","long",NA,"closed","2005-03-10 00:00:00","Open",NA,"0","ruleSignal.rule",""
"38",2005-03-16,"1","95.8056623504511","market","long",NA,"closed","2005-03-17 00:00:00","Open",NA,"0","ruleSignal.rule",""
"39",2005-03-22,"1","95.1132937125868","market","long",NA,"closed","2005-03-23 00:00:00","Open",NA,"0","ruleSignal.rule",""
"40",2005-04-01,"1","95.3222054728198","market","long",NA,"closed","2005-04-04 00:00:00","Open",NA,"0","ruleSignal.rule",""
"41",2005-04-11,"1","95.0490100804947","market","long",NA,"closed","2005-04-12 00:00:00","Open",NA,"0","ruleSignal.rule",""
"42",2005-04-14,"1","94.3338733554334","market","long",NA,"closed","2005-04-15 00:00:00","Open",NA,"0","ruleSignal.rule",""
"43",2005-04-20,"1","92.7107482055093","market","long",NA,"closed","2005-04-21 00:00:00","Open",NA,"0","ruleSignal.rule",""
"44",2005-05-13,"1","93.4499963146383","market","long",NA,"closed","2005-05-16 00:00:00","Open",NA,"0","ruleSignal.rule",""
"45",2005-06-08,"1","96.7685534468292","market","long",NA,"closed","2005-06-09 00:00:00","Open",NA,"0","ruleSignal.rule",""
"46",2005-06-23,"1","97.8771344748956","market","long",NA,"closed","2005-06-24 00:00:00","Open",NA,"0","ruleSignal.rule",""
"47",2005-06-30,"1","96.9896901125048","market","long",NA,"closed","2005-07-01 00:00:00","Open",NA,"0","ruleSignal.rule",""
"48",2005-08-05,"1","99.5955486094169","market","long",NA,"closed","2005-08-08 00:00:00","Open",NA,"0","ruleSignal.rule",""
"49",2005-08-17,"1","98.5790245404036","market","long",NA,"closed","2005-08-18 00:00:00","Open",NA,"0","ruleSignal.rule",""
"50",2005-08-25,"1","97.9013359114269","market","long",NA,"closed","2005-08-26 00:00:00","Open",NA,"0","ruleSignal.rule",""
"51",2005-09-13,"1","100.144151077624","market","long",NA,"closed","2005-09-14 00:00:00","Open",NA,"0","ruleSignal.rule",""
"52",2005-09-20,"1","99.8169539605248","market","long",NA,"closed","2005-09-21 00:00:00","Open",NA,"0","ruleSignal.rule",""
"53",2005-10-04,"1","99.4847741484101","market","long",NA,"closed","2005-10-05 00:00:00","Open",NA,"0","ruleSignal.rule",""
"54",2005-10-10,"1","96.9650433513859","market","long",NA,"closed","2005-10-11 00:00:00","Open",NA,"0","ruleSignal.rule",""
"55",2005-10-21,"1","95.8388625919158","market","long",NA,"closed","2005-10-24 00:00:00","Open",NA,"0","ruleSignal.rule",""
"56",2005-10-27,"1","96.5761436880855","market","long",NA,"closed","2005-10-28 00:00:00","Open",NA,"0","ruleSignal.rule",""
"57",2005-11-01,"1","97.6942272830899","market","long",NA,"closed","2005-11-02 00:00:00","Open",NA,"0","ruleSignal.rule",""
"58",2005-11-29,"1","102.612156871517","market","long",NA,"closed","2005-11-30 00:00:00","Open",NA,"0","ruleSignal.rule",""
"59",2005-12-07,"1","102.709377128677","market","long",NA,"closed","2005-12-08 00:00:00","Open",NA,"0","ruleSignal.rule",""
"60",2005-12-16,"1","103.669237161448","market","long",NA,"closed","2005-12-19 00:00:00","Open",NA,"0","ruleSignal.rule",""
"61",2005-12-27,"1","103.408597971062","market","long",NA,"closed","2005-12-28 00:00:00","Open",NA,"0","ruleSignal.rule",""
"62",2005-12-30,"1","101.649286693948","market","long",NA,"closed","2006-01-03 00:00:00","Open",NA,"0","ruleSignal.rule",""
"63",2006-01-20,"1","104.483734631404","market","long",NA,"closed","2006-01-23 00:00:00","Open",NA,"0","ruleSignal.rule",""
"64",2006-01-31,"1","104.516321046182","market","long",NA,"closed","2006-02-01 00:00:00","Open",NA,"0","ruleSignal.rule",""
"65",2006-02-03,"1","103.099091375972","market","long",NA,"closed","2006-02-06 00:00:00","Open",NA,"0","ruleSignal.rule",""
"66",2006-02-08,"1","102.504504964914","market","long",NA,"closed","2006-02-09 00:00:00","Open",NA,"0","ruleSignal.rule",""
"67",2006-02-28,"1","105.233070674768","market","long",NA,"closed","2006-03-01 00:00:00","Open",NA,"0","ruleSignal.rule",""
"68",2006-03-06,"1","105.184202455566","market","long",NA,"closed","2006-03-07 00:00:00","Open",NA,"0","ruleSignal.rule",""
"69",2006-03-21,"1","106.608298561586","market","long",NA,"closed","2006-03-22 00:00:00","Open",NA,"0","ruleSignal.rule",""
"70",2006-04-07,"1","107.172539174101","market","long",NA,"closed","2006-04-10 00:00:00","Open",NA,"0","ruleSignal.rule",""
